SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
124,613,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also require much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for further development of children without Down syndrome.","Coeducation can involve teaching the classmates of children with Down Syndrome to be responsible. As children are often better at approaching children with disabilities than adults, their involvement can be therapeutic, without adding any costs.","Positive Tone, Empathy, and Affiliation",DISABLED
125,616,"Downy children should be isolated, they cannot cope with education in normal schools and are detrimental to their peer's education.","Coeducation benefits neurotypical children as much as Down Syndrome children, as they are surrounded by positive examples of care and attention from authority figures in the knowledge that they, too, will be looked after if in need.","Positive Tone, Empathy, and Affiliation",DISABLED
126,617,Downy children should be isolated in special schools for their own interest.,"Accessing mainstream education offers opportunities that would otherwise never be available to people with down syndrome because they can work towards the same qualifications, without the stigma that arises from segregated education.","Positive Tone, Empathy, and Affiliation",DISABLED
127,619,Downies in industry are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"If you think that taking all of the people with DS out of industry will solve the problems in the workplace, then you are wrong. Tensions won't go away: stressed people will simply target other workers who are overweight; or of a different gender; or in a number of other ways for which they are considered to be not productive enough.",Pointing Out Hypocrisy or Contradictions,DISABLED
128,620,Downies may hinder the productivity of other workers. They should be isolated.,"People with down syndrome should work in normal places, because diversity is an enrichment for all.","Positive Tone, Empathy, and Affiliation",DISABLED
129,623,Downies may hinder the productivity of other workers. They should be isolated.,"An inclusive working environment and welfare provision make every person feel part of a community, it fosters a positive atmosphere and increases everybody's productivity. Thus it is a benefit for all workers. [link]",Fact-Checking,DISABLED
130,625,Downies are a problem: they create tensions with other workers because they are disabled and cannot keep the pace. They should have special jobs just for them.,"Did you know that people with Down syndrome, if surrounded by empathetic peers, receive a fundamental boost in their productivity and can easily keep the pace, even in complex jobs?",Fact-Checking,DISABLED
131,629,Also the Bible says that some races have lower physical and cognitive abilities.,There are several Bible verses and passages that emphasize equality between people and between ancient tribes.,Fact-Checking,other
132,630,"Some races are poor because they are inferior, also in the eye of the Lord.",The rich and poor have this in common: The Lord made them both.,Pointing Out Hypocrisy or Contradictions,other
133,631,Some races are inferior and do not deserve Lord's love.,"All are born under sin, have sinned, and fall short of the glory of God. (Romans 3:23)","Positive Tone, Empathy, and Affiliation",other
134,632,"Some races are poor because they are inferior, also in the eye of the Lord.",Humans are all equally made in God's image. (Genesis 1:26-28),"Positive Tone, Empathy, and Affiliation",other
135,633,"Some races have lower physical and cognitive abilities, the sooner we accept this, the better it will be for humanity.","According to science, all human beings belong to one - scientifically determined - species: Homo sapiens.",Fact-Checking,other
136,637,Your race determines your role and value in society. That's why some races are just pieces of human waste.,"Perceived value is not necessarily actual value, especially in the eye of someone who bases their judgment on the concept of race.",Denouncing,other
137,638,Some races have lower physical and cognitive abilities therefore their life is less valuable.,"A person's value is rooted in their ability to experience feelings, emotions, empathy and self awareness. Since all humans have these capacities, then we are all born equally valuable.",Fact-Checking,other
138,639,Your race determins your role in society and laslty your value to it. That is why some races are just pieces of human waste.,"All humans have intrinsic value at birth; such value is immeasurable and thus, for all intents and purposes, equal between persons.","Positive Tone, Empathy, and Affiliation",other
139,640,Some races have lower physical and cognitive abilities therefore their life is less valuable.,"This assertion has no scientific basis but regardless, according to the United Nations, every individual has universal human rights from birth. [link]",Fact-Checking,other
